sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
101794,2026-08-18,DeepSeek-V4-Pro,conc_sweep_done,58.02,44.53,12.73,0.76,0.0,485,485,0.0,5,2,0,12,0,47,27.75
101796,2026-08-18,Qwen3-8B,conc_sweep_done,71.71,61.18,9.01,1.5,0.03,649,649,0.0,9,6,1,12,1,40,0.0
101800,2026-08-18,Kimi-K3,conc_sweep_done,44.47,37.07,6.68,0.72,0.0,373,373,0.0,7,2,0,15,1,61,0.0
101802,2026-08-18,MiniMax-M3-MXFP4,conc_sweep_done,72.97,45.27,27.04,0.53,0.13,561,558,0.5,0,0,0,8,4,13,37.53
101804,2026-08-18,Kimi-K3,conc_sweep_done,62.7,50.56,11.5,0.64,0.0,670,670,0.0,12,2,1,20,1,112,0.0
101806,2026-08-18,Qwen3.8-2.4T-A95B-Quark-MXFP4,robustness_escalated,45.69,40.87,4.44,0.38,0.0,482,482,0.0,1,1,0,13,1,60,0.0
101808,2026-08-18,GLM-5.2-MXFP4,conc_sweep_done,78.11,59.66,17.57,0.88,0.0,789,789,0.0,9,2,1,19,0,95,10.77
101810,2026-08-18,GLM-5.2-MXFP4,conc_sweep_done,36.17,26.71,8.93,0.54,0.0,308,308,0.0,5,2,2,8,0,36,11.7
101816,2026-08-18,gpt-oss-120b,time_exhausted,67.25,54.85,10.61,1.79,0.0,577,577,0.0,7,7,3,16,3,29,7.06
101818,2026-08-18,Llama-3.1-8B-Instruct,conc_sweep_done,91.15,45.52,13.21,1.37,0.02,482,482,0.0,6,4,3,15,6,26,0.0
101823,2026-08-18,Kimi-K3,conc_sweep_done,44.5,34.82,8.9,0.78,0.0,346,346,0.0,4,2,0,10,1,37,17.15
101826,2026-08-18,Qwen3.5-397B-A17B-MXFP4,conc_sweep_done,23.5,17.7,4.36,1.43,0.0,197,197,0.0,9,5,2,6,0,16,0.0
101829,2026-08-18,Qwen3-14B-FP8,conc_sweep_done,49.92,41.29,7.26,1.37,0.0,458,458,0.0,8,6,0,10,3,27,0.0
101831,2026-08-18,DeepSeek-V4-Flash-0731,time_exhausted,204.18,166.91,31.92,5.27,0.08,1779,1779,0.0,0,0,0,20,4,38,166.91
101833,2026-08-18,Qwen3.8-2.4T-A95B-Quark-MXFP4,conc_sweep_done,45.38,37.19,7.12,1.07,0.0,376,376,0.0,0,0,0,12,2,44,0.0
101839,2026-08-19,Mixtral-8x7B-Instruct-v0.1,conc_sweep_done,77.24,23.98,12.39,1.44,0.0,293,293,0.0,15,9,3,9,1,34,0.0
101858,2026-08-19,DeepSeek-V4-Pro,conc_sweep_done,74.03,56.64,16.84,0.51,0.04,635,633,0.3,4,2,2,9,1,27,40.51
101890,2026-08-19,DeepSeek-V4-Pro,signal,9.96,8.03,1.93,0.0,0.0,67,67,0.0,0,0,0,1,0,2,8.03
101891,2026-08-19,Llama-3.1-8B-Instruct,robustness_escalated,56.31,28.61,10.59,1.83,0.02,314,314,0.0,3,1,0,11,2,27,0.0
101892,2026-08-19,Qwen3-0.6B,robustness_escalated,53.92,35.68,15.87,2.34,0.03,396,396,0.0,7,4,0,10,0,30,0.0
101893,2026-08-19,gemma-4-26B-A4B-it,conc_sweep_done,48.67,40.02,7.54,1.11,0.0,325,325,0.0,7,6,0,15,2,31,0.0
101894,2026-08-19,DeepSeek-V4-Flash-0731,time_exhausted_during_prelude,188.41,162.78,21.79,3.81,0.02,1751,1751,0.0,0,0,0,17,0,48,160.61
101895,2026-08-19,MiniMax-M3-MXFP4,robustness_escalated,50.75,39.19,10.99,0.56,0.02,393,393,0.0,0,0,0,9,0,35,16.53
